;Cr;Cs;Hu;Ho;Th;Tc;Ea;Si;Hs
samp1;6.73;68.22;0;0;0;0;0;5.79;0
samp2;6.18;76.38;0;0;0;0;0;5.81;0
samp3;0.05;0;3.63;0;8.12;0;0;0;0
samp4;0;40.96;0;0;0;0;0;38.29;0
samp5;0;45.54;0;0;0;0;0;36.59;0
samp6;0;31.88;0;0;33.21;4.55;0;13.5;0
samp7;17.71;0;8.02;0;0;0;0;0;0
samp8;0;35.44;0;0;14.86;0;0;12.47;0
samp9;0;0;0;0;0;100;0;0;0
samp10;0;0;0;0;0;100;0;0;0
samp11;0;0;0;0;0;100;0;0;0
samp12;0;0;0;0;0;100;0;0;0
samp13;0;0;0;0;0;95.68;0;0;0
samp14;0;0;0;0;0;97.5;0;0;0
samp15;0;0;0.74;0;10.19;0;0;26.39;0
samp16;0;0;0.58;0;1.57;0;0;50.35;0
samp17;0;100;0;0;0;0;0;0;0
samp18;0;95.36;0;0;0;0;0;0;0
samp19;0;92.18;0;0;0;0;0;0;0
samp20;0;0;0;0;0;0;8.95;0;0
samp21;0;1.75;0;0;0;18.18;12.61;0;0
samp22;1.98;0;24.57;0;0;0;0;0;0
samp23;1.99;0;22.24;0;0;0;0;0;0
samp24;0;37.39;0;0;0;13.64;0;37.39;0
samp25;0;0;0;0;0;100;0;0;0
samp26;0;20.82;0;0;20.82;0;0;0;0
samp27;0;0;0;0;4.57;0;10.66;0;0
samp28;0;0;0;0;3.23;0;12.91;0;0
samp29;0;32.11;0;0;0;0;0;32.11;0
samp30;0;0;0;0;46.17;0;0;19.79;0
samp31;0;52.36;0;0;0;0;0;14.95;0
samp32;0;0;0;0;0;0;0;0;6.18
samp33;0;0;0;0;24.45;18.18;0;0;0
samp34;0;0;0;0;15.55;42.27;0;0;0
samp35;0;0;0;0;54.23;18.18;0;0;0
samp36;0;0;0;0;0;100;0;0;0
samp37;0;46.59;0;0;0;0;0;0;0
samp38;0;68.45;0;0;0;0;1.86;0;0
samp39;0;0;0;0;77.05;0;5.26;0;0
samp40;0;0;0;0;52.27;0;0;0;0
samp41;0;0;0;0;52.8;0;0;3.93;0
samp42;0;4.09;0;0;0;95.45;0;0;0
samp43;0;91.82;0;0;0;0;0;0;0
samp44;4.5;0;0;0;15.91;0;0;0;0
samp45;0;0;0;0;37.56;22.73;0;0;0.35
samp46;0;0;0;0;0;22.73;0;24.77;0
samp47;0;0;1.83;0.72;35.36;0;0;5.31;0
samp48;0;0;0.47;0.08;31.46;0;0;0.08;0
samp49;0;0;30.27;0;0;0;0;0;0
samp50;0;0;30.59;0;0;0;0;0;0
samp51;0;0;42.11;0;1.94;0;0;0;0
samp52;0;0;0;0;64.91;0;0;0;0
samp53;0;0;0;0;12.45;3.18;0;0;0
samp54;0;18.95;2.68;0;0;0;0;0;0
samp55;0;64.48;18.98;0;0;0;0;0;0